time,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,node_ids
47.2,0.3000000119209289,129.0,24.412485122680664,1.4472228288650513,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0101861543953418,0.0141862854361534,-0.0030782294925302,0.1387522164545953,0.0617834256123751,-9.827031769752503,1188161.0
47.3,0.3000000119209289,127.0,24.398712158203125,1.455174684524536,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0100857894867658,-0.0308744702488184,0.0218309368938207,0.1200115887913852,0.0870274544321,-9.814269636869431,1188161.0
47.5,0.3000000119209289,125.0,24.408727645874023,1.4154157638549805,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0027788763400167,0.0066772154532372,-0.0002433046902297,0.1070273896213621,0.0588014232879504,-9.807704967856408,1188161.0
47.6,0.3000000119209289,124.0,24.408727645874023,1.455174684524536,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0071993088349699,0.0398228503763675,0.0074003399349749,0.1291807721089571,0.055866988976486,-9.825614404678346,1188161.0
47.81,0.3000000119209289,120.0,24.40121650695801,1.4631264209747314,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0030311811715364,-0.0093295248225331,0.0066288625821471,0.1288675714842975,0.0746134684234857,-9.808911248445511,1188161.0
47.9,0.4000000059604645,119.0,24.412485122680664,1.455174684524536,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.01715749502182,0.030723687261343,-0.0226931255310773,0.1241949335485696,0.0339389389939606,-9.825472902059555,1188161.0
48.1,0.4000000059604645,117.0,24.412485122680664,1.4472228288650513,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0272330474108457,0.0048397807404398,-0.0118955112993717,0.1136955543514341,0.0671596754528582,-9.798374565839769,1188161.0
48.2,0.4000000059604645,116.0,24.411231994628903,1.4472228288650513,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0026356833986938,0.0061457511037588,0.0145510341972112,0.1059210416022688,0.0466786788683384,-9.801732037067412,1188161.0
48.4,0.4000000059604645,114.0,24.39996337890625,1.455174684524536,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0155267547816038,0.0083831576630473,-0.0139659726992249,0.0954740772116929,0.0552696319436654,-9.800928629636765,1188161.0
48.53,0.4000000059604645,113.0,24.40246772766113,1.439271092414856,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0240588933229446,0.0102552063763141,-0.0245765410363674,0.1221595086436718,0.0682921029673889,-9.808687300086024,1188161.0
48.7,0.4000000059604645,111.0,24.4074764251709,1.4790298938751218,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0013367349747568,0.0071705849841237,-0.0155970314517617,0.144255853369832,0.0490346819395199,-9.80709685742855,1188161.0
48.8,0.4000000059604645,111.0,24.40622520446777,1.455174684524536,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0107576055452227,-0.0078628323972225,-0.001633470528759,0.0673228036332875,0.0828569461405277,-9.784592678546908,1188161.0
49.0,0.4000000059604645,109.0,24.4074764251709,1.4472228288650513,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0151903675869107,0.0069277714937925,-0.0045282547362148,0.1430167096015066,0.0694143983535468,-9.802645372152329,1188161.0
49.1,0.4000000059604645,108.0,24.408727645874023,1.4472228288650513,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0075242519378662,-0.0134455198422074,-0.0019122954690828,0.0998119620513171,0.0792234315164387,-9.813812384605408,1188161.0
49.3,0.4000000059604645,107.0,24.392452239990234,1.439271092414856,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0100996475666761,-0.0178654678165912,0.0295008160173892,0.1063034860510379,0.0259621080150827,-9.797526134848596,1188161.0
49.4,0.4000000059604645,107.0,24.4074764251709,1.455174684524536,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0068436716683208,0.0106876101344823,-0.0078386878594756,0.1200696132704615,0.0425031638983637,-9.833014640808106,1188161.0
